	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/01/human/2020/SWE, complete genome	3824	3824	100%	0	95.53%	MT093571.1
Select seq KY417148.1	Bat SARS-like coronavirus isolate Rs4247, complete genome	2976	2976	100%	0	73.23%	KY417148.1
Select seq KY417144.1	Bat SARS-like coronavirus isolate Rs4084, complete genome	2974	2974	100%	0	73.18%	KY417144.1
Select seq KY417143.1	Bat SARS-like coronavirus isolate Rs4081, complete genome	2974	2974	100%	0	73.18%	KY417143.1
Select seq JX993988.1	Bat coronavirus Cp/Yunnan2011, complete genome	2973	2973	100%	0	73.28%	JX993988.1
Select seq KY417146.1	Bat SARS-like coronavirus isolate Rs4231, complete genome	2972	2972	100%	0	73.23%	KY417146.1
Select seq AY390556.1	SARS coronavirus GZ02, complete genome	2966	2966	100%	0	73.10%	AY390556.1
Select seq KY417147.1	Bat SARS-like coronavirus isolate Rs4237, complete genome	2966	2966	100%	0	73.03%	KY417147.1
Select seq AY395003.1	SARS coronavirus ZS-C, complete genome	2966	2966	100%	0	73.10%	AY395003.1
Select seq AY394996.1	SARS coronavirus ZS-B, complete genome	2966	2966	100%	0	73.10%	AY394996.1
Select seq AY394981.1	SARS coronavirus HGZ8L1-A, partial genome	2965	2965	100%	0	73.10%	AY394981.1
Select seq KF294457.1	SARS-related bat coronavirus isolate Longquan-140 orf1ab polyprotein, spike glycoprotein, envelope protein, membrane protein, and nucleocapsid protein genes, complete cds	2964	2964	100%	0	73.05%	KF294457.1
Select seq DQ640652.1	SARS coronavirus GDH-BJH01, complete genome	2962	2962	100%	0	72.95%	DQ640652.1
Select seq AY394999.1	SARS coronavirus LC2, complete genome	2961	2961	100%	0	73.05%	AY394999.1
Select seq FJ429166.1	Recombinant SARS coronavirus, complete sequence	2961	2961	100%	0	73.00%	FJ429166.1
Select seq AY291315.1	SARS coronavirus Frankfurt 1, complete genome	2961	2961	100%	0	73.00%	AY291315.1
Select seq AY394994.1	SARS coronavirus HSZ-Bc, complete genome	2961	2961	100%	0	73.00%	AY394994.1
Select seq AY394985.1	SARS coronavirus HSZ-Bb, complete genome	2961	2961	100%	0	73.00%	AY394985.1
Select seq AY310120.1	SARS coronavirus FRA, complete genome	2961	2961	100%	0	73.00%	AY310120.1
Select seq AY461660.1	SARS coronavirus SoD, complete genome	2961	2961	100%	0	73.00%	AY461660.1
Select seq AH013708.2	SARS coronavirus Sin0409, partial sequence	2960	2960	100%	0	73.00%	AH013708.2
Select seq JX163928.1	SARS coronavirus isolate Tor2/FP1-10895, complete genome	2960	2960	100%	0	73.00%	JX163928.1
Select seq JX163927.1	SARS coronavirus isolate Tor2/FP1-10851, complete genome	2960	2960	100%	0	73.00%	JX163927.1
Select seq JX163926.1	SARS coronavirus isolate Tor2/FP1-10912, complete genome	2960	2960	100%	0	73.00%	JX163926.1
Select seq JX163925.1	SARS coronavirus isolate Tor2/FP1-10895, complete genome	2960	2960	100%	0	73.00%	JX163925.1
Select seq JX163923.1	SARS coronavirus isolate Tor2/FP1-10912, complete genome	2960	2960	100%	0	73.00%	JX163923.1
Select seq GU553363.1	SARS coronavirus HKU-39849 isolate TCVSP-HARROD-00001, complete genome	2960	2960	100%	0	73.00%	GU553363.1
Select seq FJ882963.1	SARS coronavirus P2, complete genome	2960	2960	100%	0	73.00%	FJ882963.1
Select seq EU371559.1	SARS coronavirus ZJ02, complete genome	2960	2960	100%	0	73.00%	EU371559.1
Select seq DQ898174.1	SARS coronavirus strain CV7, complete genome	2960	2960	100%	0	73.00%	DQ898174.1
Select seq AY864806.1	SARS coronavirus BJ202, complete genome	2960	2960	100%	0	73.00%	AY864806.1
Select seq AY864805.1	SARS coronavirus BJ162, complete genome	2960	2960	100%	0	73.00%	AY864805.1
Select seq AY714217.1	SARS Coronavirus CDC#200301157, complete genome	2960	2960	100%	0	73.00%	AY714217.1
Select seq AY559096.1	SARS coronavirus Sin850, complete genome	2960	2960	100%	0	73.00%	AY559096.1
Select seq AY559095.1	SARS coronavirus Sin847, complete genome	2960	2960	100%	0	73.00%	AY559095.1
Select seq AY559094.1	SARS coronavirus Sin846, complete genome	2960	2960	100%	0	73.00%	AY559094.1
Select seq AY559093.1	SARS coronavirus Sin845, complete genome	2960	2960	100%	0	73.00%	AY559093.1
Select seq AY559092.1	SARS coronavirus SinP5, complete genome	2960	2960	100%	0	73.00%	AY559092.1
Select seq AY559091.1	SARS coronavirus SinP4, complete genome	2960	2960	100%	0	73.00%	AY559091.1
Select seq AY559090.1	SARS coronavirus SinP3, complete genome	2960	2960	100%	0	73.00%	AY559090.1
Select seq AY559089.1	SARS coronavirus SinP2, complete genome	2960	2960	100%	0	73.00%	AY559089.1
Select seq AY559087.1	SARS coronavirus Sin3725V, complete genome	2960	2960	100%	0	73.00%	AY559087.1
Select seq AY559086.1	SARS coronavirus Sin849, complete genome	2960	2960	100%	0	73.00%	AY559086.1
Select seq AY559085.1	SARS coronavirus Sin848, complete genome	2960	2960	100%	0	73.00%	AY559085.1
Select seq AY559084.1	SARS coronavirus Sin3765V, complete genome	2960	2960	100%	0	73.00%	AY559084.1
Select seq AY559082.1	SARS coronavirus Sin852, complete genome	2960	2960	100%	0	73.00%	AY559082.1
Select seq DQ182595.1	SARS coronavirus ZJ0301 from China, complete genome	2960	2960	100%	0	73.00%	DQ182595.1
Select seq AY274119.3	Severe acute respiratory syndrome-related coronavirus isolate Tor2, complete genome	2960	2960	100%	0	73.00%	AY274119.3
Select seq AY323977.2	SARS coronavirus HSR 1, complete genome	2960	2960	100%	0	73.00%	AY323977.2
Select seq AY291451.1	SARS coronavirus TW1, complete genome	2960	2960	100%	0	73.00%	AY291451.1
Select seq AY502932.1	SARS coronavirus TW9, complete genome	2960	2960	100%	0	73.00%	AY502932.1
Select seq AY502931.1	SARS coronavirus TW8, complete genome	2960	2960	100%	0	73.00%	AY502931.1
